fac_id,surveyed,stratum,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac
32,1,1,0.21064301,1.0,55.55847,16.667542,16.667542,16.667542,16.667542,16.667542,16.667542,16.667542,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,5.555847
33,1,1,0.21064301,1.0,15.094706,10.063137,10.063137,10.063137,10.063137,10.063137,5.0315685,5.0315685,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,5.0315685
34,1,2,0.23880596,1.0,104.42961,,,,,,39.161102,39.161102,0.0,0.0,0.0,0.0,0.0,0.33333334,0.33333334,0.0,0.33333334,13.053701
35,1,1,0.21064301,1.0,14.993933,8.996359,8.996359,8.996359,8.996359,8.996359,2.9987864,2.9987864,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,1.0,1.0,0.33333334,1.0,2.9987864
36,1,3,0.36619717,0.71428573,49.473907,11.131629,11.131629,11.131629,11.131629,11.131629,4.4526515,4.4526515,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.5555556,0.5555556,0.22222222,0.5555556,2.4736953
37,1,1,0.21064301,1.0,19.039104,12.692737,12.692737,12.692737,12.692737,12.692737,6.3463683,6.3463683,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,6.3463683
38,1,5,0.7307692,0.4,69.789474,14.943158,14.943158,14.943158,14.943158,14.943158,4.9810524,4.9810524,0.09157509,0.09157509,0.09157509,0.09157509,0.09157509,0.2747253,0.2747253,0.09157509,0.2747253,1.3684211
39,1,1,0.21064301,1.0,11.803921,7.869281,7.869281,7.869281,7.869281,7.869281,3.9346404,3.9346404,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.9346404
40,1,1,0.21064301,1.0,19.9986,9.9993,9.9993,9.9993,9.9993,9.9993,4.99965,4.99965,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,4.99965
41,1,1,0.21064301,1.0,6.857413,4.5716085,4.5716085,4.5716085,4.5716085,4.5716085,4.5716085,4.5716085,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.2858043
